# X	Sqrt(X)	Ln(X)
0	0.0	None
1	1.0	0.0
2	1.4142135623730951	0.6931471805599453
3	1.7320508075688772	1.0986122886681098
4	2.0	1.3862943611198906
5	2.23606797749979	1.6094379124341003
6	2.449489742783178	1.791759469228055
7	2.6457513110645907	1.9459101490553132
8	2.8284271247461903	2.0794415416798357
9	3.0	2.1972245773362196
10	3.1622776601683795	2.302585092994046
11	3.3166247903554	2.3978952727983707
12	3.4641016151377544	2.4849066497880004
13	3.605551275463989	2.5649493574615367
14	3.7416573867739413	2.6390573296152584
15	3.872983346207417	2.70805020110221
16	4.0	2.772588722239781
17	4.123105625617661	2.833213344056216
18	4.242640687119285	2.8903717578961645
19	4.358898943540674	2.9444389791664403
20	4.47213595499958	2.995732273553991
